referenceID,siteID,experiment,experiment_type,experiment_description,replicates,taxa,biome,habitat,abundance
Pekar1998,19,1,pesticide,"ANDA, treated with 0.6 l/ha of flucycloxuron",1,arachnid,1,agricultural,1
Pekar1998,20,1,pesticide,DIMI treated with 0.25 l/ha of diflubenzuron,1,arachnid,1,agricultural,1
Pekar1998,21,1,pesticide,CONS treated with 0.75 l/ha of hexaflumuron,1,arachnid,1,agricultural,1
Pekar1998,22,0,pesticide,CTRL untreated,1,arachnid,1,agricultural,1
Pekar1998,23,1,pesticide,"ANDA, treated with 0.6 l/ha of flucycloxuron",1,arachnid,1,agricultural,1
Pekar1998,24,1,pesticide,DIMI treated with 0.25 l/ha of diflubenzuron,1,arachnid,1,agricultural,1
Pekar1998,25,1,pesticide,CONS treated with 0.75 l/ha of hexaflumuron,1,arachnid,1,agricultural,1
Pekar1998,26,1,pesticide,"NOMO, treated with 1 l/ha of teflubenzuron",1,arachnid,1,agricultural,1
Pekar1998,27,0,pesticide,CTRL untreated,1,arachnid,1,agricultural,1
Stevenson1982,30,1,habitat_structure,flat filter paper disks,27,arachnid,1,forest_leaf_litter,1
Stevenson1982,31,0,habitat_structure,curled filter paper disks,27,arachnid,1,forest_leaf_litter,1
Stevenson1982,32,1,habitat_structure,flat maple leaves,27,arachnid,1,forest_leaf_litter,1
Stevenson1982,33,0,habitat_structure,curled maple leaves,27,arachnid,1,forest_leaf_litter,1
Jung2008,50,0,pollution,"unpolluted, heavy metal concentration in the soil; Cd = 0.06 mg/kg, Pb = 4.0 mg/kg",1,arachnid,1,agricultural,1
Jung2008,51,0,pollution,"unpolluted, heavy metal concentration in soil; Cd = 0.06 mg/kg, Pb = 2.9 mg/kg",1,arachnid,1,residential,1
Jung2008,52,0,pollution,"unpolluted, heavy metal concentration in soil; Cd = 0.07 mg/kg, Pb = 2.3 mg/kg",1,arachnid,1,industrial,1
Jung2008,53,2,pollution,"moderately polluted; heavy metal concentration in soil; Cd = 1.39 mg/kg, Pb = 41.0 mg/kg",1,arachnid,1,residential,1
Jung2008,54,2,pollution,"moderately polluted; heavy metal concentration in soil; Cd = 0.28 mg/kg, Pb = 14.8 mg/kg",1,arachnid,1,agricultural,1
Jung2008,55,2,pollution,"moderately polluted; heavy metal concentration in soil; Cd = 0.32 mg/kg, Pb = 45.6 mg/kg",1,arachnid,1,agricultural,1
Vargas2000,62,1,fertilization,"fertilizer first applied immediately after Hurricane Hugo (September 1989), then every 3 months at an annual rate of 300 kg/ha N, 100 kg/ha P, 100 kg/ha K, 8kg/ha B, 15.4 kg/ha Cu, 2.2 kg/ha Fe, 25 kg/ha Mn, 26 kg/ha Zn and 19 kg/ha Mg. Rates represent N (3x), P (30x), and K (2x) mean annual input from litterfall.",3,arachnid,1,tropical_forest,1
Vargas2000,63,1,habitat_structure,"one-time total debris removal, one month after Hurrican Hugo (September 1989)",3,arachnid,1,tropical_forest,1
Vargas2000,64,0,control,unmanipulated,3,arachnid,1,tropical_forest,1
Vargas2000,65,1,fertilization,"fertilizer first applied in April 1990 and then every 3 mongths to present. Represents N (15x), P (166x) and K (30x) mean annual input from litterfall.",3,arachnid,1,tropical_forest,1
Vargas2000,66,0,control,unmanipulated,3,arachnid,1,tropical_forest,1
Nitterus2006,67,1,habitat_structure,"bare ground, slash and debris removed",6,carabid,1,evergreen_forest,1
Nitterus2006,68,1,habitat_structure,"slash piled regularly across the landscape in a grid pattern, with height of slash within the natural range of variability",6,carabid,1,evergreen_forest,1
Nitterus2006,69,0,control,"unmanipulated, slash randomly piled on site",6,carabid,1,evergreen_forest,1
Gruner2004,91,0,control,unmanipulated,8,arachnid,1,basaltic_lava,1
Gruner2004,92,1,fertilization,"Semi-annual hand broadcast of N, P, K. Ca, and micronutrient mix spread at level of 50 kg/ha, beginning in September 1998. Later applications were half initial level. Fertilization ended October 2000.",8,arachnid,1,basaltic_lava,1
Gruner2004,93,1,bird_exclosure,cages 4 m tall X 4-6 m/side with sheer UV-resistant 2x2 cm mesh to keep out birds. Insects should be able to pass through.,8,arachnid,1,basaltic_lava,1
Gruner2004,94,1,fertilization+bird_exclosure,combination of fertilization and bird cage exclosure,8,arachnid,1,basaltic_lava,1
Gruner2004,95,0,control,unmanipulated,8,insect,1,basaltic_lava,1
Gruner2004,96,1,fertilization,"Semi-annual hand broadcast of N, P, K. Ca, and micronutrient mix spread at level of 50 kg/ha, beginning in September 1998. Later applications were half initial level. Fertilization ended October 2000.",8,insect,1,basaltic_lava,1
Gruner2004,97,1,bird_exclosure,cages 4 m tall X 4-6 m/side with sheer UV-resistant 2x2 cm mesh to keep out birds. Insects should be able to pass through.,8,insect,1,basaltic_lava,1
Gruner2004,98,1,fertilization+bird_exclosure,combination of fertilization and bird cage exclosure,8,insect,1,basaltic_lava,1
Neff2007,141,1,herbivore_removal,elk exclosure,4,lepidopteran,1,grassland,1
Neff2007,142,0,herbivore_removal,unmanipulated,4,lepidopteran,1,grassland,1
Neff2007,143,1,herbivore_removal,elk exclosure,4,lepidopteran,1,grassland,1
Neff2007,144,0,herbivore_removal,unmanipulated,4,lepidopteran,1,grassland,1
Neff2007,145,1,herbivore_removal,elk exclosure,4,lepidopteran,1,grassland,1
Neff2007,146,0,herbivore_removal,unmanipulated,4,lepidopteran,1,grassland,1
Neff2007,147,1,herbivore_removal,elk exclosure,5,lepidopteran,1,evergreen_forest,1
Neff2007,148,0,herbivore_removal,unmanipulated,5,lepidopteran,1,evergreen_forest,1
Neff2007,149,1,herbivore_removal,elk exclosure,5,lepidopteran,1,evergreen_forest,1
Neff2007,150,0,herbivore_removal,unmanipulated,5,lepidopteran,1,evergreen_forest,1
Neff2007,151,1,herbivore_removal,elk exclosure,5,lepidopteran,1,evergreen_forest,1
Neff2007,152,0,herbivore_removal,unmanipulated,5,lepidopteran,1,evergreen_forest,1
Rundlof2008,153,2,pesticide,"Organically farmed landscapes, cereal fields and borders",8,lepidopteran,1,agricultural,1
Rundlof2008,154,2,pesticide,"Conventionally farmed landscapes, cereal fields and bords",8,lepidopteran,1,agricultural,1
Cleary2004,164,0,burning_and_logging,primary landscape in large unburned isolate,16,lepidopteran,1,tropical_forest,1
Cleary2004,165,2,habitat_size,"primary landscape in small, unburned isolate (small habitat size)",16,lepidopteran,1,tropical_forest,1
Cleary2004,166,2,logging,logged landscape in large unburned isolate,16,lepidopteran,1,tropical_forest,1
Cleary2004,167,2,burning,once-burned forest,16,lepidopteran,1,tropical_forest,1
Cleary2004,168,2,burning,twice-burned forest,21,lepidopteran,1,tropical_forest,1
Cleary2004,169,2,burning,slash and burn agriculture area,16,lepidopteran,1,tropical_forest,1
Cleary2004,170,0,burning_and_logging,primary landscape in large unburned isolate,16,odonate,1,tropical_forest,1
Cleary2004,171,2,habitat_size,"primary landscape in small, unburned isolate (small habitat size)",16,odonate,1,tropical_forest,1
Cleary2004,172,2,logging,logged landscape in large unburned isolate,16,odonate,1,tropical_forest,1
Cleary2004,173,2,burning,once-burned forest,16,odonate,1,tropical_forest,1
Cleary2004,174,2,burning,twice-burned forest,21,odonate,1,tropical_forest,1
Cleary2004,175,2,burning,slash and burn agriculture area,16,odonate,1,tropical_forest,1
Stork2003,176,0,silvicultural_treatment,"uncleared forest, near-primary, no logging roads",1,lepidopteran,1,tropical_forest,1
Stork2003,177,2,silvicultural_treatment,"all trees completely cleared in 1987, planted with Terminalia ivorensis",1,lepidopteran,1,tropical_forest,1
Stork2003,178,0,silvicultural_treatment,"uncleared forest, near-primary, no logging roads",1,lepidopteran,1,tropical_forest,1
Stork2003,179,2,silvicultural_treatment,"manually cleared, some trees and vegetation removed with chainsaw and poison in 1987, planted with Terminalia ivorensis ",1,lepidopteran,1,tropical_forest,1
Stork2003,180,2,silvicultural_treatment," mechanically cleared, most undergrowth and trees removed in 1987 using bulldozer, planted with T. ivorensis",1,lepidopteran,1,tropical_forest,1
Stork2003,181,2,silvicultural_treatment,"all trees and vegetation removed in 1991, planted with T. ivorensis",1,lepidopteran,1,tropical_forest,1
Stork2003,182,0,silvicultural_treatment,"uncleared forest, near-primary, one access road",1,lepidopteran,1,tropical_forest,1
Stork2003,183,2,silvicultural_treatment,"farm fallow, manually cleared of all trees in 1990 and left fallow, weeded to remove trees",1,lepidopteran,1,tropical_forest,1
Stork2003,184,2,silvicultural_treatment,"all trees completely cleared in 1987, planted with T. ivorensis",1,lepidopteran,1,tropical_forest,1
Stork2003,185,0,silvicultural_treatment,"uncleared forest, near-primary, no logging roads",1,lepidopteran,1,tropical_forest,1
Stork2003,186,2,silvicultural_treatment,"manually cleared, some trees and vegetation removed with chainsaw and poison in 1987, planted with Terminalia ivorensis",1,lepidopteran,1,tropical_forest,1
Stork2003,187,2,silvicultural_treatment,"mechanically cleared, most undergrowth and trees removed in 1987 using bulldozer, planted with T. ivorensis",1,lepidopteran,1,tropical_forest,1
Stork2003,188,2,silvicultural_treatment,"all trees and vegetation removed in 1991, planted with T. ivorensis",1,lepidopteran,1,tropical_forest,1
Stork2003,189,0,silvicultural_treatment,"uncleared forest, near-primary, one access road",1,lepidopteran,1,tropical_forest,1
Bobo2006,190,0,silvicultural_treatment,"uncleared control, near-primary forest",6,lepidopteran,1,tropical_forest,1
Bobo2006,191,2,silvicultural_treatment,old secondary forest,6,lepidopteran,1,tropical_forest,1
Bobo2006,192,2,silvicultural_treatment,"agro-forestry, cocoa and coffee plantations, large trees remain",6,lepidopteran,1,tropicalforest_agriculture,1
Bobo2006,193,2,agriculture_practice,"annual-cultures, crops, few trees remain",6,lepidopteran,1,agricultural,1
Legge2008,231,2,fire,"burned by large, intense natural wildfire in September 2006; sampled approx 5 weeks later",6,mammal,1,open_woodland,1
Legge2008,232,0,fire,"unburned, but near large, natural wildfire in September 2006; sampled approx. 5 weeks later",6,mammal,1,open_woodland,1
Legge2008,233,2,fire,"burned by large, intense natural wildfire in September 2006; sampled approx 5 weeks later",6,lizard,1,open_woodland,1
Legge2008,234,0,fire,"unburned, but near large, natural wildfire in September 2006; sampled approx. 5 weeks later",6,lizard,1,open_woodland,1
Legge2008,235,2,fire,"burned by large, intense natural wildfire in September 2006; sampled approx 5 weeks later",6,bird,1,open_woodland,1
Legge2008,236,0,fire,"unburned, but near large, natural wildfire in September 2006; sampled approx. 5 weeks later",6,bird,1,open_woodland,1
Dritschilo1982,252,0,ag_chemical use,"organically farmed, without the use of chemical fertilizers or pesticides. Lightly tilled.",1,carabid,1,agricultural,1
Dritschilo1982,253,1,ag_chemical use,"conventionally farmed, using herbicide and chemical fertilizer. Tilled with heavy machinery.",1,carabid,1,agricultural,1
Dritschilo1982,254,1,ag_chemical use,"organically farmed, without the use of chemical fertilizers or pesticides. Lightly tilled. Planted with corn only.",1,carabid,1,agricultural,1
Dritschilo1982,255,0,ag_chemical use,"organically farmed, without the use of chemical fertilizers or pesticides. Lightly tilled. Crop rotation in place, corn following beans.",1,carabid,1,agricultural,1
Dritschilo1982,256,1,ag_chemical use,"conventionally farmed, using herbicide and chemical fertilizer. Tilled with heavy machinery.",1,carabid,1,agricultural,1
Dritschilo1982,257,0,ag_chemical use,"organically farmed, without the use of chemical fertilizers or pesticides. Lightly tilled.",1,carabid,1,agricultural,1
Dritschilo1982,258,1,ag_chemical use,"conventionally farmed, using herbicide and chemical fertilizer. Tilled with heavy machinery.",1,carabid,1,agricultural,1
Dritschilo1982,259,0,ag_chemical use,"organically farmed, without the use of chemical fertilizers or pesticides. Lightly tilled.",1,carabid,1,agricultural,1
Dritschilo1982,260,1,ag_chemical use,"conventionally farmed, using herbicide and chemical fertilizer. Tilled with heavy machinery.",1,carabid,1,agricultural,1
Dritschilo1982,261,1,ag_chemical use,"conventionally farmed, using herbicide only - NO chemical fertilizers. Tilled with heavy machinery.",1,carabid,1,agricultural,1
Elek2001,262,0,silvicultural_treatment,native beech forest,1,carabid,1,deciduous_forest,1
Elek2001,263,2,silvicultural_treatment,5 yr old Norway spruce plantation,1,carabid,1,evergreen_forest,1
Elek2001,264,2,silvicultural_treatment,15 yr old Norway spruce plantation,1,carabid,1,evergreen_forest,1
Elek2001,265,2,silvicultural_treatment,30 yr old Norway spruce plantation,1,carabid,1,evergreen_forest,1
Elek2001,266,2,silvicultural_treatment,50 yr old Norway spruce plantation,1,carabid,1,evergreen_forest,1
Lemieux2004,267,1,silvicultural_treatment,clearcut,3,carabid,1,evergreen_forest,1
Lemieux2004,268,1,silvicultural_treatment,open areas in patch-retention harvest,3,carabid,1,evergreen_forest,1
Lemieux2004,269,1,silvicultural_treatment,wooded area in patch-retention harvest,3,carabid,1,evergreen_forest,1
Lemieux2004,270,1,silvicultural_treatment,intact forest at edge of patch-retention harvest ,3,carabid,1,evergreen_forest,1
Lemieux2004,271,0,silvicultural_treatment,undisturbed forest,3,carabid,1,evergreen_forest,1
Phillips2006,272,0,silvicultural_treatment,"unsalvaged forest; within boundary of Chisholm fire, which burned in 2001",3,carabid,1,evergreen_forest,1
Phillips2006,273,2,silvicultural_treatment,"edge between salvaged and unsalvaged forest (transition); within boundary of Chisholm fire, which burned in 2001 ",3,carabid,1,evergreen_forest,1
Phillips2006,274,2,silvicultural_treatment,"salvage logged forest; within boundary of Chisholm fire, which burned in 2001 ",3,carabid,1,evergreen_forest,1
Skalski2010,275,2,pollution,"3.5 km from zinc and lead mine smelter in Scots pine forest, most polluted of the 5 sites",1,carabid,1,evergreen_forest,1
Skalski2010,276,2,pollution,"2.5 km from zinc and lead mine smelter in Scots pine forest, 2nd most polluted of the 5 sites",1,carabid,1,evergreen_forest,1
Skalski2010,277,2,pollution,"3.9 km from zinc and lead mine smelter in Scots pine forest, 3rd most polluted of the 5 sites",1,carabid,1,evergreen_forest,1
